               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1305,            0.026728,            0.030751,          0.00013313,            0.043478,          8.4498e-05,          1.2809e-05,             0.13377,            0.019276,            0.042276,              0.0946,              0.0006,              0.0006
                   1,             0.11258,            0.027422,            0.031516,          0.00066605,             0.18103,          0.00050719,          0.00011726,            0.093331,            0.017908,             0.03551,            0.088279,           0.0012786,           0.0012786
                   2,            0.091947,            0.027539,            0.029345,           0.0020901,             0.56455,           0.0033115,          0.00067965,            0.077728,            0.015814,            0.026814,            0.081934,            0.001934,            0.001934
                   3,            0.084156,            0.025952,            0.025682,           0.0023682,             0.63862,           0.0072926,           0.0015834,             0.07492,            0.014244,            0.023319,            0.075566,           0.0025663,           0.0025663
                   4,            0.073914,            0.024396,            0.023319,             0.79235,             0.14815,             0.22431,            0.072604,            0.061656,            0.013084,            0.022653,            0.069176,           0.0031756,           0.0031756
                   5,              0.0712,             0.02277,            0.023165,              0.6042,             0.17901,             0.12361,            0.025453,            0.063753,            0.010762,            0.023088,            0.062762,           0.0037618,           0.0037618
                   6,            0.069889,            0.022473,            0.022515,             0.79357,             0.38272,             0.37326,             0.10695,            0.062895,           0.0095177,            0.020573,            0.056325,           0.0043248,           0.0043248
                   7,            0.063808,            0.020024,            0.021823,            0.030797,             0.37976,            0.029925,           0.0076423,            0.067596,            0.010053,             0.02347,            0.049865,           0.0048648,           0.0048648
                   8,            0.066457,            0.018953,            0.021675,             0.13915,             0.46518,             0.13931,            0.043881,            0.060761,           0.0091802,            0.022697,            0.043382,           0.0053816,           0.0053816
                   9,            0.062019,            0.018605,            0.020436,             0.87843,             0.44444,             0.51685,             0.16269,            0.054715,           0.0088061,             0.02077,            0.036875,           0.0058753,           0.0058753
                  10,            0.057443,            0.018899,            0.019032,              0.9084,             0.40123,             0.51737,              0.2186,             0.05333,           0.0080686,            0.021616,            0.030346,            0.006346,            0.006346
                  11,            0.060361,            0.017953,            0.019982,             0.83525,             0.41454,             0.48591,             0.15562,            0.063089,           0.0066646,            0.019212,            0.023794,           0.0067935,           0.0067935
                  12,            0.061392,             0.01863,            0.019489,             0.61276,             0.44444,             0.16483,            0.047638,             0.05756,           0.0070484,            0.015644,            0.017218,            0.007218,            0.007218
                  13,            0.062392,             0.01886,            0.020107,             0.90282,             0.43497,             0.55617,             0.22008,            0.056376,           0.0066298,            0.014647,            0.010619,           0.0076193,           0.0076193
                  14,            0.064202,            0.017953,            0.018724,             0.87071,             0.37168,             0.49546,             0.17806,            0.059521,           0.0066928,            0.011822,             0.00769,             0.00769,             0.00769
